pen_rate,inel_rate,scenario,markov_rho,n_houses,dt_hr,P_community_peak_kw,P_onpeak_peak_kw,CF_onpeak,P50_kw,P90_kw,P99_kw,CF,CF_ci_lo,CF_ci_hi,ramp_rate_kw_per_min,trough_kw,load_factor,E_annual_kwh,E_pv_kwh,E_ev_kwh,E_ev_grid_import_kwh,E_ev_grid_export_kwh,E_cost_usd,demand_charge_usd,total_bill_usd,E_carbon_kg,E_baseline_cost_usd,E_ev_cost_usd,E_batt_cost_usd,E_pv_credit_usd,decomp_err_pct,P_peak_building_kw,P_peak_ev_kw,P_peak_batt_kw,P_peak_pv_kw,demand_charge_lb_uniform_usd,demand_charge_lb_opf_usd,optimality_gap_pct,comm_free_oracle_gap_pct,active_set_rho_cert,lp_opf_status,lp_opf_g2v_day_kwh,lp_opf_v2g_day_kwh,lp_opf_peak_kw,lp_opf_peak_hour,L_community,L_per_house_max,L_n_elastic,L_p_baseline_kw,jain_fairness,SRE_ratio,SRE_ci_lo,SRE_ci_hi,MIT_ratio,MIT_ci_lo,MIT_ci_hi,VF_ratio,VF_ci_lo,VF_ci_hi,HYB_ratio,HYB_ci_lo,HYB_ci_hi,SRE_onpeak,MIT_onpeak,VF_onpeak
0.250000,0.300000,4,0.400000,50,0.166670,191.538400,81.622500,0.452159,12.898200,157.542900,178.146500,0.721934,0.633981,0.776183,1.563830,0.000000,0.215809,362101.360000,257426.980000,52806.010000,52806.010000,0.000000,129967.040000,83055.320000,213022.360000,104329.960000,35343.840000,19902.050000,82389.520000,7668.370000,0.000000,37.007300,35.000000,119.530000,0.000000,18536.610000,5076.750000,1535.990000,22.360000,0.202000,ok,144.860000,0.000000,11.320900,21,,1.512657,38,0.711800,0.880331,2.668197,2.358946,3.404224,0.854206,0.707772,0.964759,0.956825,0.793624,1.195023,0.975827,0.830715,1.224930,1.361544,1.057429,0.936966
0.250000,0.300000,5,0.400000,50,0.166670,231.998100,93.181200,0.482578,18.728700,121.211300,193.741300,0.736271,0.663611,0.795608,2.118720,0.000000,0.171748,349044.900000,257426.980000,52866.250000,52866.250000,0.000000,125693.400000,96709.940000,222403.330000,101415.050000,36837.180000,15497.170000,80729.860000,7370.810000,0.000000,36.621500,21.310700,174.066300,0.000000,17868.230000,9495.810000,918.450000,10.110000,0.457000,ok,144.840000,0.000000,21.175200,15,,1.512657,38,0.712100,0.879958,2.668197,2.358946,3.404224,0.854206,0.707772,0.964759,0.956825,0.793624,1.195023,0.975827,0.830715,1.224930,1.361544,1.057429,0.936966
0.250000,0.500000,0,0.400000,50,0.166670,85.476200,85.476200,0.335185,3.032200,24.639000,43.062400,0.331043,0.269573,0.351014,2.669940,0.000000,0.097229,72802.090000,257426.980000,52952.420000,52952.420000,0.000000,27126.580000,29051.290000,56177.880000,22153.040000,19599.540000,8777.070000,260.310000,1510.340000,0.000000,110.482000,21.000000,1.693500,47.700000,3726.870000,936.380000,3002.530000,32.570000,0.457000,ok,145.010000,0.000000,2.088100,1,,1.512657,29,0.712100,0.339408,2.662787,2.349852,3.407255,0.834378,0.690736,0.957720,0.981553,0.802551,1.223407,0.985167,0.818980,1.245522,1.303188,1.057174,0.979159
0.250000,0.500000,1,0.400000,50,0.166670,174.354400,93.181200,0.461783,16.214800,138.399200,160.512800,0.735502,0.634444,0.789957,2.118720,0.000000,0.228027,348275.820000,257426.980000,52877.990000,52877.990000,0.000000,125464.570000,75494.290000,200958.850000,101193.090000,35938.560000,14503.070000,82376.560000,7353.630000,0.000000,33.420400,21.403700,119.530000,0.000000,17828.860000,5113.540000,1376.360000,10.490000,0.302000,ok,144.910000,0.000000,11.403000,22,8.623763,1.512657,29,0.712100,0.880180,2.662787,2.349852,3.407255,0.834378,0.690736,0.957720,0.981553,0.802551,1.223407,0.985167,0.818980,1.245522,1.303188,1.057174,0.979159
0.250000,0.500000,2,0.400000,50,0.166670,292.728200,88.621500,0.436809,17.602000,107.646100,285.325100,0.881497,0.824831,0.918504,3.840930,0.000000,0.136602,350289.100000,257426.980000,52934.660000,52934.660000,0.000000,126188.260000,128132.800000,254321.050000,104081.920000,35381.510000,15704.400000,82508.160000,7405.820000,0.000000,35.728200,7.000000,250.000000,0.000000,17931.920000,1689.300000,7484.980000,2.450000,0.450000,ok,145.010000,0.000000,3.767100,2,,1.512657,29,0.712100,0.878180,2.662787,2.349852,3.407255,0.834378,0.690736,0.957720,0.981553,0.802551,1.223407,0.985167,0.818980,1.245522,1.303188,1.057174,0.979159
0.250000,0.500000,3,0.400000,50,0.166670,85.476200,85.476200,0.335185,3.032200,24.639000,43.062400,0.331043,0.269573,0.351014,2.669940,0.000000,0.097229,72802.090000,257426.980000,52952.420000,52952.420000,0.000000,26265.860000,29051.290000,55317.160000,22153.040000,19350.050000,8161.110000,265.040000,1510.340000,0.000000,110.482000,21.000000,1.693500,47.700000,3726.870000,936.380000,3002.530000,32.570000,0.457000,ok,145.010000,0.000000,2.088100,1,,1.512657,29,0.712100,0.348394,2.662787,2.349852,3.407255,0.834378,0.690736,0.957720,0.981553,0.802551,1.223407,0.985167,0.818980,1.245522,1.303188,1.057174,0.979159
0.250000,0.500000,4,0.400000,50,0.166670,191.538400,81.622500,0.452159,12.898200,157.542900,178.146500,0.721934,0.633981,0.776183,1.563830,0.000000,0.215809,362101.360000,257426.980000,52806.010000,52806.010000,0.000000,129967.040000,83055.320000,213022.360000,104329.960000,35343.840000,19902.050000,82389.520000,7668.370000,0.000000,37.007300,35.000000,119.530000,0.000000,18536.610000,5076.750000,1535.990000,22.360000,0.202000,ok,144.860000,0.000000,11.320900,21,,1.512657,29,0.711800,0.880331,2.662787,2.349852,3.407255,0.834378,0.690736,0.957720,0.981553,0.802551,1.223407,0.985167,0.818980,1.245522,1.303188,1.057174,0.979159
0.250000,0.500000,5,0.400000,50,0.166670,229.145300,93.181200,0.461783,18.392300,120.385400,192.353300,0.724592,0.646959,0.790214,2.118720,0.000000,0.171973,345203.020000,257426.980000,52877.560000,52877.560000,0.000000,124341.230000,95504.720000,219845.950000,100308.090000,36785.000000,14129.250000,80713.020000,7286.040000,0.000000,36.621500,18.613200,173.910700,0.000000,17671.560000,9507.970000,904.470000,8.840000,0.300000,ok,144.860000,0.000000,21.202300,21,,1.512657,29,0.712100,0.879504,2.662787,2.349852,3.407255,0.834378,0.690736,0.957720,0.981553,0.802551,1.223407,0.985167,0.818980,1.245522,1.303188,1.057174,0.979159
0.500000,0.100000,0,0.400000,50,0.166670,141.745300,141.745300,0.428671,10.572300,43.969200,87.373300,0.413924,0.320405,0.494621,3.996010,0.000000,0.123681,153573.270000,257426.980000,150433.420000,150433.420000,0.000000,60259.390000,49782.120000,110041.500000,48127.810000,27164.080000,33890.170000,317.520000,1112.380000,0.000000,36.770600,105.000000,-0.025300,0.000000,7861.690000,7316.170000,580.440000,175.580000,0.525000,ok,412.000000,0.000000,16.314700,4,,5.202885,44,0.713000,0.420078,1.988358,1.560009,2.699705,0.899931,0.766278,1.006490,0.984896,0.802273,1.177002,1.023197,0.893366,1.188680,1.068862,1.043172,0.941237
0.500000,0.100000,1,0.400000,50,0.166670,228.613500,93.216700,0.477971,21.204000,172.649200,209.881300,0.740669,0.662830,0.776621,3.590570,0.000000,0.224079,448751.840000,257426.980000,150119.140000,150119.140000,0.000000,163365.810000,99079.520000,262445.330000,130146.250000,36509.760000,51875.810000,82406.960000,7426.720000,0.000000,33.804700,75.278100,119.530000,0.000000,22972.410000,7802.070000,1169.910000,44.580000,0.641000,ok,411.550000,0.000000,17.398200,22,44.950794,5.202885,44,0.713000,0.813530,1.988358,1.560009,2.699705,0.899931,0.766278,1.006490,0.984896,0.802273,1.177002,1.023197,0.893366,1.188680,1.068862,1.043172,0.941237
